building,"coordinates (lat,long)"
Allegheny Observatory,"40.48273929785413,-80.02035744593766"
Allen Hall,"40.444977480518396,-79.95833221210194"
Alumni Hall,"40.44551836422915,-79.95389790176046"
Archives Science Center,"40.450292260730635,-79.89547413059607"
Babcock Room,"40.44443150221886,-79.95335263244718"
Barco Law Building,"40.44201502065641,-79.95557584593979"
Bellefield Hall,"40.44550454496203,-79.95091487477556"
Benedum Hall,"40.44427521708696,-79.95830961895477"
Biomedical Science Tower 3,"40.441135049248764,-79.96018633429824"
Biomedical Science Towers 1 and 2,"40.44222158156245,-79.96081686128316"
Bridgeside Point Building,"40.43002077472308,-79.95900968826882"
Bridgeside Point II Building,"40.431744503453366,-79.96253646313457"
C4C: The Workshop,"40.4434056442839,-79.95605723244726"
Carrillo Street Steam Plant,"40.44454680681753,-79.96558417477553"
Cathedral of Learning,"40.44443595669289,-79.95315510361135"
Center for Biotechnology and Bioengineering,"40.43118973760355,-79.9609935036121"
Chancellor's Office,"40.44438251205277,-79.95336336128301"
Chevron Annex,"40.44618117338513,-79.9576132036113"
Chevron Science Center,"40.44596352243887,-79.95782303244714"
Clapp Hall,"40.44626635110468,-79.95314600361132"
Craig Hall,"40.44630486203161,-79.9490664766263"
Crawford Hall,"40.44687556618948,-79.95433161525287"
David Lawrence Hall,"40.44269495008186,-79.95521016128318"
Drug Discovery Institute,"40.44223791214677,-79.96080613244732"
Eberly Hall,"40.44596296517628,-79.9583395674498"
Engineering Auditorium,"40.44418147751492,-79.95797041710388"
Falk School,"40.44718378309379,-79.95968615901926"
Forbes Pavilion,"40.44068275024255,-79.95885797436293"
Forbes Tower,"40.44072098114746,-79.95756120134789"
Frick Fine Arts Building,"40.44160702516813,-79.95086268785533"
Gardner Steel Conference Center,"40.44456169140468,-79.95799425478167"
Public Health,"40.44349426649939,-79.95766253544774"
Heinz Memorial Chapel,"40.445482724020934,-79.95179860134765"
Human Engineering Research Labaratories,"40.45764850345528,-79.91640895531697"
Humanities Center,"40.4444277916734,-79.95310145901932"
Information Sciences Build,"40.447495682677,-79.95271184737776"
Jewish University Center,"40.444783646280754,-79.9482023148401"
Langley Hall,"40.446513060088876,-79.95403154552675"
Litchfield Towers,"40.44293591920715,-79.95626581669111"
Mascaro Center for Sustainable Innovation,"40.44426294534302,-79.95823191588718"
McGowan Institute for Regenerative Medicine,"40.43170440377793,-79.96235910319915"
Medical Arts Building,"40.44193961680575,-79.95798651669121"
Mellon Institute,"40.44661144294989,-79.9513191762137"
Mervis Hall,"40.440890956969405,-79.95326074552702"
Music Building,"40.446754613176175,-79.95231603203435"
Nanoscale Fabrication and Characterization Facility,"40.44391912096586,-79.95856049764298"
Nationality Rooms,"40.444489362235124,-79.95324971854205"
Neuromuscular Research Laboratory,"40.41784885881604,-79.9555014264827"
Old Engineering Hall,"40.445053115863445,-79.95797183018348"
O'Hara Student Center,"40.44494045106608,-79.95728225901932"
Panther Central,"40.442786684680705,-79.95635283203454"
"Parking, Transportation, & Services Office","40.447182750035815,-79.95225473331524"
Parkvale Building,"40.44041848188233,-79.95813744552707"
Petersen Events Center,"40.44409263804217,-79.96227294552693"
Printing Services Copy Cat,"40.44259492396814,-79.96158996880993"
Public Safety Building,"40.43881837865446,-79.96051703831242"
Salk Hall,"40.44269968482878,-79.96272733203455"
Scaife Hall,"40.442770449949066,-79.96187063203455"
Schenley Plaza,"40.44302891468869,-79.95255767806475"
Sennott Square,"40.44167161732693,-79.95645066087043"
Space Research Coordination Center,"40.44561160436483,-79.95707682833259"
Stephen Foster Memorial,"40.443851643313714,-79.95269018785521"
Structural Biology,"40.441092860353145,-79.95984496881009"
Thackeray Hall,"40.44435853736393,-79.95734977251189"
Thaw Hall,"40.44547962926296,-79.95742420504958"
Translational Medicine,"40.44032048887489,-79.9578317375876"
University Child Development Center,"40.44835232717488,-79.94504020319852"
University Club,"40.44441506246989,-79.95678684552685"
University Honors College,"40.44445228674441,-79.95312291669102"
UPMC,"40.44240790039974,-79.96079140319867"
UPMC Center for Sports Medicine,"40.4247403387191,-79.95916874976542"
Victoria Building,"40.4415329560337,-79.96065708970632"
Wesley W. Posvar Hall,"40.44152801379013,-79.95462374737795"
William Pitt Union,"40.44378827833181,-79.95455881854211"